country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Turks and Caicos Islands,,,6.19999948551566,26802.0673752091,,122.33812713623,4.10991382598877,,,,,74.925,45847.0
Tuvalu,,,0.677309361438304,5911.32727055301,,98.4408187866211,,90.0,,,,64.854,9992.0
Uganda,7.1957888597581,12.0219954333331,4.58802192181773,963.067314117178,80.5899963378906,,2.56105017662048,92.0,,,2.886,63.638,47312719.0
Ukraine,20.1836366617478,35.4451153382041,-28.7585842132117,4199.6708984375,,92.7711634493634,5.93389987945557,74.0,,,,68.5879268292683,41048766.0
United Arab Emirates,5.29122604376849,103.812252334383,7.50969703221836,49899.0652978649,98.0,,,98.0,,,2.872,79.196,10074977.0
United Kingdom,7.92204883147902,33.5671944737788,4.83908514714403,45935.9276473925,,102.406127929688,4.95917558670044,90.0,11.34454918,,3.73,82.0585365853659,67791000.0
United States,8.00279982052121,11.6022279170372,2.51237531983308,78035.1753604212,,96.9717330932617,,92.0,16.57115173,41.3,3.65,77.4341463414634,333271411.0
Uruguay,9.10437983075437,31.9521648717584,4.70725761465232,20691.9738991763,99.0,108.822761535645,4.5073299407959,96.0,,40.6,7.877,78.0,3390913.0
Uzbekistan,11.4466436998834,24.3321763426068,6.00134232206508,2578.66689394219,100.0,93.9099780290139,5.23477172851562,99.0,,31.2,4.49,71.674,34938955.0
Vanuatu,6.67930581887121,15.3048330605426,1.9160570121628,3265.39645133096,,110.520745546126,10.7033452987671,70.0,,,5.143,70.492,313046.0
"Venezuela, RB",,,,,97.5999984741211,,,52.0,,,5.707,71.105,28213017.0
Viet Nam,3.15650749963129,93.8116384128291,8.12351446767343,4116.38576094153,96.0,123.133723768475,2.88738679885864,88.0,,36.1,1.523,74.58,99680655.0
Virgin Islands (U.S.),,97.3672945205479,-1.31123206333498,44320.909185774,,,,,,,13.007,80.319512195122,105413.0
West Bank and Gaza,3.74122391852077,18.4362526414651,4.08276027347105,3799.95527015163,98.0,91.7645874023438,,97.0,,,24.42,73.444,5043612.0
"Yemen, Rep.",,,,615.70207931388,,,,53.0,,,17.363,63.72,38222876.0
Zambia,10.9932039209136,40.1939977114306,5.21122360356247,1447.12310138035,,,3.58259510993958,90.0,,51.5,5.995,61.803,20152938.0
Zimbabwe,104.705170628667,27.8721706935875,6.13926326513234,2040.55245910726,89.8499984741211,95.789907037216,,90.0,,,10.087,59.391,16069056.0
